date,nav,shares_outstanding,total_net_assets
2025-12-08,40.728719,180650000,7357642997.36
2025-12-09,40.49027,180650000,7314567231.46
2025-12-10,40.561566,180650000,7327446815.15
2025-12-11,40.785035,181900000,7418797821.07
2025-12-12,40.743348,184600000,7521222052.81
2025-12-15,40.91534,184600000,7552971675.93
2025-12-16,40.557314,185450000,7521353886.7
2025-12-17,40.723902,190950000,7776229018.17
2025-12-18,40.482608,185700000,7517620388.7
2025-12-19,40.333467,186200000,7510091602.66
2025-12-22,40.196947,185950000,7474622289.82
2025-12-23,40.179935,185950000,7471458873.29
2025-12-24,40.455583,186000000,7524738424.99
2025-12-26,40.510985,185750000,7524915481.31
2025-12-29,40.631971,185750000,7547388611.25
2025-12-30,40.707262,184400000,7506419179.77
2025-12-31,40.349374,183000000,7383935410.55
2026-01-02,40.372448,182550000,7369990382.45
2026-01-05,40.426049,182450000,7375732639.4
2026-01-06,40.702857,182950000,7446587683.47
2026-01-07,40.126353,183650000,7369204801.39
2026-01-08,40.454956,184000000,7443711891.15
2026-01-09,40.506977,183750000,7443156941.84
2026-01-12,40.618484,183750000,7463646466.8
2026-01-13,40.939391,183950000,7530801036.44
2026-01-14,41.399278,183850000,7611257347.24
2026-01-15,41.704667,183450000,7650721138.03
2026-01-16,42.222887,170850000,7213780229.73
2026-01-20,41.390925,171500000,7098543587.42
2026-01-21,41.564486,172000000,7149091638.85
2026-01-22,41.135326,172000000,7075276084.08
2026-01-23,41.254392,172300000,7108131662.21
2026-01-26,41.225227,172050000,7092800366.49
2026-01-27,41.254933,172050000,7097911174.42
2026-01-28,40.840782,172050000,7026656498.71
2026-01-29,41.387989,172050000,7120803487.64
2026-01-30,41.430443,173900000,7204753999.23
2026-02-02,40.96114,174350000,7141574812.27
2026-02-03,40.818764,174350000,7116751525.84
2026-02-04,41.469759,174400000,7232325992.15
2026-02-05,41.244708,174450000,7195139295.38
2026-02-06,41.98583,172450000,7240456330.11
2026-02-09,42.24365,172400000,7282805239.94
2026-02-10,42.834477,172400000,7384663862.6
2026-02-11,42.806404,172850000,7399086865.55
2026-02-12,42.858806,172300000,7384572197.66
2026-02-13,43.496728,172900000,7520584249.42
2026-02-17,43.929188,174300000,7656857407.09
2026-02-18,43.349287,175000000,7586125273.89
2026-02-19,43.205366,175500000,7582541751.42
2026-02-20,43.541624,175950000,7661148774.67
2026-02-23,43.606262,176150000,7681243064.78
2026-02-24,43.718051,176350000,7709678324.97
2026-02-25,43.432217,175900000,7639726891.64
2026-02-26,43.633534,175500000,7657685223.35
2026-02-27,43.83281,175800000,7705808015.16
2026-03-02,43.943067,176250000,7744965548.22
2026-03-03,43.685619,176550000,7712695972.92
2026-03-04,43.769075,176500000,7725241731.84
2026-03-05,43.346082,176500000,7650583413.41
2026-03-06,42.903006,177300000,7606703049.78
2026-03-09,42.983546,178450000,7670413812.22
2026-03-10,42.912354,178550000,7662000752.6
2026-03-11,42.407235,178550000,7571811842.99
2026-03-12,42.142406,178550000,7524526594.46
2026-03-13,42.253598,177650000,7506351644.53
2026-03-16,42.572455,177800000,7569382484.31
2026-03-17,42.704786,178150000,7607857674.11
2026-03-18,42.002959,178250000,7487027444.9
2026-03-19,41.921103,183150000,7677850088.33
2026-03-20,40.603861,178400000,7243728830.72
